Name;Nationality;Position;Barcelona career;Appearances;Goals;Height;International goals
Lionel Messi ; Argentina;Forward;2004–;280;244;1,69;37
César Rodr?guez ; Spain;Forward;1942–1955;287;191;1,75;11
László Kubala; Hungary;Forward;1950–1961;186;130;1,76;22
Samuel Eto'o ; Cameroon;Forward;2004–2009;145;107;1,79;56
Mariano Martín ; Spain;Forward;1939–1948;112;96;1,73;0
Patrick Kluivert; Netherlands;Forward;1998–2004;182;89;1,88;40
Estanislao Basora; Spain;Winger;1946–1958;237;88;1,68;15
Rivaldo; Brazil;Midfielder;1997–2002;157;85;1,86;34
Josep Escol?; Spain;Forward;1934–1949;152;85;1,83;3
Hristo Stoichkov; Bulgaria;Forward;1996–1998;175;82;1,78;38
Carles Rexach; Spain;Forward;1965–1981;328;80;1,81;2
Evaristo de Macedo; Brazil;Forward;1957–1962;114;77;1,78;8
Justo Tejada; Spain;Forward;1953–1961;149;72;1,84;10
Luis Enrique; Spain;Midfielder;1996–2004;207;72;1,8;12
Juan Manuel Asensi; Spain;Forward;1970–1980;299;72;1,78;9
José Mari Bakero; Spain;Midfielder;1988–1996;260;71;1,75;7
Ronaldinho; Brazil;Forward;2003–2008;145;69;1,81;33
Ronald Koeman; Netherlands;Defender;1989–1995;192;66;1,83;14
Bernd Schuster; Germany;Midfielder;1980–1988;170;62;1,81;4
Txiki Begiristain; Spain;Midfielder;1988–1995;223;62;1,72;6
Eulogio Martínez; Paraguay;Forward;1956–1962;111;61;1,78;10
José Antonio Zaldúa; Spain;Forward;1961–1971;145;60;1,84;0
Luis Suárez ; Spain;Winger;1954–1961;122;60;1,75;43
Julio Salinas; Spain;Forward;1988–1994;146;59;1,88;22
Eduardo Manchón; Spain;Winger;1950–1957;144;56;1,78;0
Cayetano Ré; Paraguay;Forward;1962–1966;84;55;1,78;
Xavi Hernández ; Spain;Midfielder;1998–;475;55;1,7;14
Quini; Spain;Forward;1980–1984;100;53;1,76;19
Ramón Villaverde; Spain;Forward;1954–1963;162;52;1,81;0
Pedro Rodríguez ; Spain;Winger;2008–;172;51;1,67;16
José Bravo; Spain;Forward;1940–1948;120;50;1,85;0
Javier Saviola; Argentina;Forward;2001–2004;123;48;1,68;11
Francisco José Carrasco; Spain;Forward;1978–1989;262;48;1,83;6
Allan Simonsen; Denmark;Forward;1979–1982;98;30;1,65;20
Marcial Pina; Spain;Midfielder;1969–1977;210;46;1,73;0
Josep Maria Fusté; Spain;Midfielder;1962–1972;197;46;1,76;3
Johan Cruyff; Netherlands;Forward;1973–1978;139;46;1,8;33
Guillermo Amor; Spain;Midfielder;1988–1998;311;46;1,74;4
Gary Lineker; England;Forward;1986–1989;103;41;1,77;48
Sándor Kocsis; Hungary;Forward;1958–1965;75;41;1,7;75
Jesús María Pereda; Spain;Midfielder;1961–1969;134;40;1,7;7
Michael Laudrup; Denmark;Midfielder;1989–1994;167;39;1,83;37
Alexis Sánchez; Chile;Forward;2011–2014;88;37;1,69;26
Josep Seguer; Spain;Winger;1943–1957;214;37;1,7;0
Johan Neeskens; Netherlands;Midfielder;1974–1979;140;34;1,78;17
Roberto Fernández; Spain;Midfielder;1986–1990;144;34;1,79;2
Ronaldo ; Brazil;Forward;1996–1997;37;33;1,83;62
Romário ; Brazil;Forward;1993–1995;46;33;1,67;55
Hans Krankl; Austria;Midfielder;1978–1980;46;33;1,82;34
Andrés Iniesta; Spain;Midfielder;2002–;339;32;1,71;11
